nets/vgg16.json
nets/vgg16.json
nets/vgg16.json
==========
weak scaling
Profiling for device GeForce 1080 Ti and Ethernet (2.500000 GB/s)
Use pipelining: False
Use gemm: False  PPP comp: 0.490000   PPP comm: 0.720000
workers	batch_size	iter	time_fwd	time_bwd	time_apply	time_comp	OneToAll	TreeAllReduce	ButterflyAllReduce	ButterflyMixing
1	32	1	225.285359441	501.662734274	3.22084761535	730.16894133	0.0	0.0	0.0	307.461208889
2	64	1	225.285359441	501.662734274	3.22084761535	730.16894133	614.922417778	614.922417778	307.461208889	307.461208889
4	128	1	225.285359441	501.662734274	3.22084761535	730.16894133	1844.76725333	1229.84483556	614.922417778	307.461208889
8	256	1	225.285359441	501.662734274	3.22084761535	730.16894133	4304.45692444	1844.76725333	922.383626667	307.461208889
16	512	1	225.285359441	501.662734274	3.22084761535	730.16894133	9223.83626667	2459.68967111	1229.84483556	307.461208889
32	1024	1	225.285359441	501.662734274	3.22084761535	730.16894133	19062.5949511	3074.61208889	1537.30604444	307.461208889
64	2048	1	225.285359441	501.662734274	3.22084761535	730.16894133	38740.11232	3689.53450667	1844.76725333	307.461208889
128	4096	1	225.285359441	501.662734274	3.22084761535	730.16894133	78095.1470578	4304.45692444	2152.22846222	307.461208889
