nets/vgg16.json
==========
weak scaling
Profiling for device M60 and Ethernet (2.500000 GB/s)
Use pipelining: False
Use gemm: False  PPP comp: 0.490000   PPP comm: 0.720000
workers	batch_size	iter	time_fwd	time_bwd	time_apply	time_comp	OneToAll	TreeAllReduce	ButterflyAllReduce	ButterflyMixing
1	32	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	0.0	0.0	0.0	307.461208889
2	64	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	614.922417778	614.922417778	307.461208889	307.461208889
4	128	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	1844.76725333	1229.84483556	614.922417778	307.461208889
8	256	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	4304.45692444	1844.76725333	922.383626667	307.461208889
16	512	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	9223.83626667	2459.68967111	1229.84483556	307.461208889
32	1024	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	19062.5949511	3074.61208889	1537.30604444	307.461208889
64	2048	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	38740.11232	3689.53450667	1844.76725333	307.461208889
128	4096	1	599.970823875	1360.73522906	9.72151308447	1970.42756602	78095.1470578	4304.45692444	2152.22846222	307.461208889
